=== download start: 34 regions, concurrency=5 ===
SKIP  강동구_신규 (253623286 bytes)
OK    강서구_신규 (58125943 bytes)
OK    도봉구_신규 (128530466 bytes)
OK    관악구_신규 (135760710 bytes)
OK    광진구_신규 (147805324 bytes)
OK    서초구_신규 (14118699 bytes)
OK    마포구_신규 (124691153 bytes)
OK    동작구_신규 (171283943 bytes)
OK    강남구_재공급 (8386194 bytes)
OK    금천구_신규 (156384232 bytes)
OK    강북구_재공급 (427621658 bytes)
OK    송파구_신규 (331723716 bytes)
OK    강북구_신규 (578432734 bytes)
OK    강동구_재공급 (352678789 bytes)
OK    광진구_재공급 (77738431 bytes)
OK    금천구_재공급 (69816219 bytes)
OK    동대문구_재공급 (18268895 bytes)
OK    동작구_재공급 (2807817 bytes)
OK    마포구_재공급 (2371958 bytes)
OK    서대문구_재공급 (1251286 bytes)
OK    서초구_재공급 (23286989 bytes)
OK    은평구_신규 (430274264 bytes)
OK    성동구_재공급 (21745175 bytes)
OK    성북구_재공급 (78216892 bytes)
OK    양천구_재공급 (14191509 bytes)
OK    도봉구_재공급 (206491212 bytes)
OK    은평구_재공급 (29244918 bytes)
OK    종로구_재공급 (22012683 bytes)
OK    중구_재공급 (19005568 bytes)
OK    영등포구_재공급 (106930637 bytes)
OK    중랑구_재공급 (60599697 bytes)
OK    구로구_재공급 (352817534 bytes)
OK    관악구_재공급 (367139775 bytes)
OK    송파구_재공급 (262522446 bytes)
=== download done ===
=== SUMMARY ===
valid zips: 34 / 34,  problems: 0
