=== extracting 34 zips ===
OK    강남구_재공급: 6 files, 0 dirs
OK    강동구_신규: 4 files, 0 dirs
OK    강동구_재공급: 40 files, 0 dirs
OK    강북구_신규: 165 files, 0 dirs
OK    강북구_재공급: 13 files, 0 dirs
OK    강서구_신규: 2 files, 0 dirs
OK    관악구_신규: 2 files, 0 dirs
OK    관악구_재공급: 169 files, 0 dirs
OK    광진구_신규: 2 files, 0 dirs
OK    광진구_재공급: 28 files, 0 dirs
OK    구로구_재공급: 55 files, 0 dirs
OK    금천구_신규: 21 files, 0 dirs
OK    금천구_재공급: 21 files, 0 dirs
OK    도봉구_신규: 29 files, 0 dirs
OK    도봉구_재공급: 52 files, 0 dirs
OK    동대문구_재공급: 4 files, 0 dirs
OK    동작구_신규: 2 files, 0 dirs
OK    동작구_재공급: 2 files, 0 dirs
OK    마포구_신규: 22 files, 0 dirs
OK    마포구_재공급: 1 files, 0 dirs
OK    서대문구_재공급: 1 files, 0 dirs
OK    서초구_신규: 2 files, 0 dirs
OK    서초구_재공급: 25 files, 0 dirs
OK    성동구_재공급: 3 files, 0 dirs
OK    성북구_재공급: 6 files, 0 dirs
OK    송파구_신규: 118 files, 0 dirs
OK    송파구_재공급: 57 files, 0 dirs
OK    양천구_재공급: 3 files, 0 dirs
OK    영등포구_재공급: 42 files, 0 dirs
OK    은평구_신규: 6 files, 0 dirs
OK    은평구_재공급: 35 files, 0 dirs
OK    종로구_재공급: 47 files, 0 dirs
OK    중구_재공급: 12 files, 0 dirs
OK    중랑구_재공급: 61 files, 0 dirs
=== extraction done: 34 ok, 0 failed ===
